1,1,1,13182
1,1,4,9716
1,1,7,2216
1,1,10,743
1,1,13,587
1,1,16,640
1,1,19,643
1,1,22,677
1,1,25,727
1,1,28,794
1,1,31,813
1,1,34,826
1,1,37,885
1,2,1,17529
1,2,4,17605
1,2,7,13394
1,2,10,327
1,2,13,293
1,2,16,423
1,2,19,383
1,2,22,411
1,2,25,404
1,2,28,351
1,2,31,478
1,2,34,496
1,2,37,501
1,3,1,19321
1,3,4,19853
1,3,7,9097
1,3,10,1900
1,3,13,205
1,3,16,187
1,3,19,194
1,3,22,237
1,3,25,239
1,3,28,307
1,3,31,295
1,3,34,322
1,3,37,351
1,4,1,21278
1,4,4,22863
1,4,7,13823
1,4,10,1107
1,4,13,884
1,4,16,161
1,4,19,128
1,4,22,143
1,4,25,142
1,4,28,179
1,4,31,230
1,4,34,223
1,4,37,233
2,1,1,17150
2,1,4,16100
2,1,7,1472
2,1,10,1582
2,1,13,757
2,1,16,548
2,1,19,539
2,1,22,457
2,1,25,507
2,1,28,554
2,1,31,615
2,1,34,614
2,1,37,702
2,2,1,18301
2,2,4,20209
2,2,7,14323
2,2,10,2399
2,2,13,317
2,2,16,143
2,2,19,238
2,2,22,236
2,2,25,224
2,2,28,281
2,2,31,262
2,2,34,282
2,2,37,333
2,3,1,18535
2,3,4,23601
2,3,7,17504
2,3,10,1231
2,3,13,185
2,3,16,141
2,3,19,92
2,3,22,99
2,3,25,128
2,3,28,143
2,3,31,186
2,3,34,177
2,3,37,191
2,4,1,18337
2,4,4,25962
2,4,7,18401
2,4,10,8285
2,4,13,596
2,4,16,95
2,4,19,115
2,4,22,107
2,4,25,78
2,4,28,99
2,4,31,106
2,4,34,118
2,4,37,124
3,1,1,20743
3,1,4,3549
3,1,7,716
3,1,10,489
3,1,13,511
3,1,16,547
3,1,19,615
3,1,22,639
3,1,25,679
3,1,28,699
3,1,31,744
3,1,34,799
3,1,37,782
3,2,1,25366
3,2,4,8869
3,2,7,465
3,2,10,159
3,2,13,215
3,2,16,256
3,2,19,326
3,2,22,359
3,2,25,380
3,2,28,430
3,2,31,439
3,2,34,519
3,2,37,485
3,3,1,25187
3,3,4,16668
3,3,7,190
3,3,10,69
3,3,13,126
3,3,16,134
3,3,19,191
3,3,22,220
3,3,25,244
3,3,28,279
3,3,31,276
3,3,34,302
3,3,37,355
3,4,1,18572
3,4,4,18357
3,4,7,363
3,4,10,58
3,4,13,77
3,4,16,89
3,4,19,124
3,4,22,144
3,4,25,157
3,4,28,182
3,4,31,216
3,4,34,238
3,4,37,247
4,1,1,27497
4,1,4,12363
4,1,7,279
4,1,10,320
4,1,13,452
4,1,16,477
4,1,19,496
4,1,22,520
4,1,25,578
4,1,28,629
4,1,31,651
4,1,34,687
4,1,37,690
4,2,1,23190
4,2,4,17474
4,2,7,353
4,2,10,151
4,2,13,152
4,2,16,169
4,2,19,231
4,2,22,281
4,2,25,310
4,2,28,321
4,2,31,348
4,2,34,367
4,2,37,401
4,3,1,24033
4,3,4,21095
4,3,7,872
4,3,10,44
4,3,13,67
4,3,16,103
4,3,19,108
4,3,22,151
4,3,25,143
4,3,28,188
4,3,31,208
4,3,34,237
4,3,37,242
4,4,1,24292
4,4,4,26439
4,4,7,1046
4,4,10,25
4,4,13,34
4,4,16,59
4,4,19,62
4,4,22,86
4,4,25,106
4,4,28,136
4,4,31,128
4,4,34,177
4,4,37,189
